Name	Set	ImageFile	Cost	Type	Race	Allignment 	Group	Power	Guard	Elemental Affinity	Weakness	Set Number	Script
Cleopatra	Demonic Invasion	Cleopatra.png	6	Demon	Femme	Law		7	5	Ice	Curse	BS01-46	/ccred+7;/ccblue+5
Dominion	Demonic Invasion	Dominion.png	6	Demon	Divine	Law		5	7	Expel	Curse	BS01-47	/ccred+5;/ccblue+7
Isis	Demonic Invasion	Isis.png	6	Demon	Lady	Law		5	7	Electric	Curse	BS01-48	/ccred+5;/ccblue+7
Lakshmi	Demonic Invasion	Lakshmi.png	6	Demon	Megami	Law	Dance	5	7	Force	Electric	BS01-49	/ccred+5;/ccblue+7
Asmodeus	Demonic Invasion	Asmodeus.png	7	Demon	Tyrant 	Chaos		6	8	Fire	Expel	BS01-50	/ccred+6;/ccblue+8
Lilith	Demonic Invasion	Lilith.png	7	Demon	Night	Chaos		8	6	Curse	Ice	BS01-51	/ccred+8;/ccblue+6
Samael	Demonic Invasion	Samael.png	7	Demon	Fallen	Chaos		7	7	Curse	Expel	BS01-52	/ccred+7;/ccblue+7
Throne	Demonic Invasion	Throne.png	7	Demon	Divine	Law		7	7	Expel	Curse	BS01-53	/ccred+7;/ccblue+7
Amon-Ra	Demonic Invasion	Amon-Ra.png	8	Demon	Deity	Law		7	9	Expel	Electric	BS01-54	/ccred+7;/ccblue+9
Cherub	Demonic Invasion	Cherub.png	8	Demon	Divine	Law		8	8	Expel	Curse	BS01-55	/ccred+8;/ccblue+8
Mara	Demonic Invasion	Mara.png	8	Demon	Tyrant	Chaos		9	7	Fire	Ice	BS01-56	/ccred+9;/ccblue+7
Lucifer Frost	Demonic Invasion	LuciferFrost.png	9	Demon	Tyrant	Chaos	Jack	10	8	Ice	Fire	BS01-57	/ccred+10;/ccblue+8
Seraph	Demonic Invasion	Seraph.png	9	Demon	Divine	Law		9	9	Expel	Curse	BS01-58	/ccred+9;/ccblue+9
Vishnu	Demonic Invasion	Vishnu.png	9	Demon	Deity	Law		8	10	Expel	Fire	BS01-59	/ccred+8;/ccblue+10
Sandalphon	Demonic Invasion	Sandalphon.png	10	Demon	Herald	Law		9	11	Expel	Curse	BS01-60	/ccred+9;/ccblue+11
Charon's Deal	Demonic Invasion	CharonsDeal.png	0	Ritual	Spell							BS01-61	
Demon Compendium	Demonic Invasion	DemonCompendium.png	0	Ritual	Item							BS01-62	
Demon Contract	Demonic Invasion	DemonContract.png	0	Ritual	Item							BS01-63	
Demonic Scream	Demonic Invasion	DemonicScream.png	0	Ritual	Spell							BS01-64	
Frost Sanctuary	Demonic Invasion	FrostSanctuary.png	0	Ritual	Field							BS01-65	
Gustave's Offer	Demonic Invasion	GustavesOffer.png	0	Ritual	Spell							BS01-66	
Life Stone	Demonic Invasion	LifeStone.png	0	Ritual	Item							BS01-67	
Megami Prayer	Demonic Invasion	MegamiPrayer.png	0	Ritual	Spell							BS01-68	
Angel's Will	Demonic Invasion	AngelsWill.png	1	Ritual	Spell							BS01-69	
Blessed Spring	Demonic Invasion	BlessedSpring.png	1	Ritual	Field							BS01-70	
Celestial Dance	Demonic Invasion	CelestialDance.png	1	Ritual	Spell							BS01-71	
Divine Order	Demonic Invasion	DivineOrder.png	1	Ritual	Field							BS01-72	
Hama	Demonic Invasion	Hama.png	1	Ritual	Spell		Hama					BS01-73	
Holy Shield	Demonic Invasion	HolyShield.png	1	Ritual	Item		Attach					BS01-74	
Jack Brothers	Demonic Invasion	JackBrothers.png	1	Ritual	Spell							BS01-75	
Mabufu	Demonic Invasion	Mabufu.png	1	Ritual	Spell		Bufu					BS01-76	
Maeiga	Demonic Invasion	Maeiga.png	1	Ritual	Spell		Mudo					BS01-77	
Makouga	Demonic Invasion	Makouga.png	1	Ritual	Spell		Hama					BS01-78	
Maragi	Demonic Invasion	Maragi.png	1	Ritual	Spell		Agi					BS01-79	
Mazan	Demonic Invasion	Mazan.png	1	Ritual	Spell		Zan					BS01-80	
Mazio	Demonic Invasion	Mazio.png	1	Ritual	Spell		Zio					BS01-81	
Megido	Demonic Invasion	Megido.png	1	Ritual	Spell		Almighty					BS01-82	
Mudo	Demonic Invasion	Mudo.png	1	Ritual	Spell		Mudo					BS01-83	
Demon's Raid	Demonic Invasion	DemonsRaid.png	2	Ritual	Spell							BS01-84	
Frost Horde	Demonic Invasion	FrostHorde.png	2	Ritual	Spell							BS01-85	
Nile's Blessing	Demonic Invasion	NilesBlessing.png	2	Ritual	Field							BS01-86	
Protective Aura	Demonic Invasion	ProtectiveAura.png	2	Ritual	Spell		Attach					BS01-87	
Showdown	Demonic Invasion	Showdown.png	2	Ritual	Spell							BS01-88	
Land of Demons	Demonic Invasion	LandofDemons.png	4	Ritual	Field							BS01-89	
Tridevi	Demonic Invasion	Tridevi.png	4	Ritual	Spell							BS01-90	
